,abl,abstract,access,act,add,algorithm,allow,also,anoth,appear,applic,appropri,avoid,becom,behavior,call,can,case,chang,class,client,code,combin,common,complex,compos,concret,consid,contain,correspond,creat,data,declar,defin,depend,describ,design,diagram,differ,display,document,draw,editor,encapsul,even,everi,exampl,extend,extens,first,flexibl,follow,forward,function,general,get,give,graphic,hierarchi,implement,includ,independ,inform,initi,instanc,instanti,intent,interfac,just,keep,key,kind,know,larg,let,like,made,maintain,make,manag,mani,may,might,modifi,motiv,multipl,must,need,new,number,object,often,one,open,oper,part,particular,pass,pattern,perform,possibl,present,problem,provid,put,refer,relationship,replac,repres,represent,request,requir,respons,result,return,reus,runtim,see,select,separ,set,sever,share,simpl,simpli,solut,specif,specifi,state,store,structur,subclass,support,suppos,system,text,therebi,therefor,time,toolkit,two,use,user,usual,vari,want,way,whenev,will,window,without,work
1,0,-0.150820325,0,0,0,0,0,0.006617727,0,0.043063652,-0.103468616,0.070041227,0,0,0.006414637,-0.009028389,-0.070558867,0,-0.013699898,-0.335766609,-0.099041835,0,0,0,0,0.048469526,0.031583744,0.029859941,0,0.061673236,-0.105574222,0,0.061673236,-0.091026385,-0.021713824,0,0.0545982,0,-0.059341565,0,0,0,0.00876884,0,0,0,-0.039172523,0,0,0,0,0,0,0,0,0,0,0,0,-0.14420336,0,0,0,0,-0.023044455,-0.006065582,0,-0.146601292,0.048469526,0,0,0.013898282,0,0,0,0.019618348,0,0,-0.017939545,0.0865361,0,0,0,0,-0.005627064,0.036113221,0,-0.019269983,-0.007359228,0,-0.212945646,0,-0.03471301,0,-0.161864733,0,0.076455865,0,-0.045513193,0,0,0.068254273,0.022784906,-0.008918686,0,0,0,0,-0.010638972,0,0,0,0,0,0.086127303,0,0,0,0,0,0,0,0,0,0,0,0.02618623,0.0545982,0,0,0,-0.1097155,0.006414637,0,-0.014309658,-0.003826956,0,0,0,0.038227932,0,-0.163175705,-0.026261857,0,0,-0.008918686,0,0,0,-0.04165404,-0.007359228,0
2,0.029298358,-0.139620787,0,0,0,0,0,0,0.016023371,0,-0.055523085,0,0.020513783,0,0,0,-0.075726265,0.019378991,0,-0.191355609,-0.068299827,-0.021024916,0.037585358,0,0,0,0.01207428,0.016023371,0,0,-0.043832736,0,0,-0.048846364,-0.011652021,0,0,0.016023371,-0.046650223,0,0,0,0,0,0,0.032513577,-0.054337635,0.032046742,0.026009603,0.026009603,0.029298358,0,0,0,0.018166381,0,0,0,0.008897978,-0.158464435,0,0,0,0,0,-0.003254898,0,-0.069670845,0,0,0,0.009411028,0,0,-0.014092576,0,0,0,-0.02235245,0.029298358,0,0,0.010527552,0.037585358,-0.004785924,0.019378991,0.007444899,-0.010340613,-0.007898183,0,-0.132663815,0,-0.029524069,0,-0.053257641,0.020513783,0,0,-0.048846364,0,0.037585358,0.023108715,0.012226782,-0.003019582,0.026009603,0,0.029298358,0,0,0.022271882,0,0.020513783,0,0,0,0.037585358,0.037585358,0,0.016023371,0.014166438,0,0.020513783,0.014166438,0.018166381,0,0,0.022271882,0,0,0,0,-0.088312909,0.00545577,0,-0.007678815,0,0,0.037585358,0,0.020513783,0.023104466,-0.087562962,-0.008891425,0.033094947,0.025396443,-0.006039164,0.001735226,0.029298358,0,-0.106282636,-0.006259162,0.029298358
3,0.029298358,-0.139620787,0,0,0,0,0,0,0.016023371,0,-0.055523085,0,0.020513783,0,0,0,-0.075726265,0.019378991,0,-0.191355609,-0.068299827,-0.021024916,0.037585358,0,0,0,0.01207428,0.016023371,0,0,-0.043832736,0,0,-0.048846364,-0.011652021,0,0,0.016023371,-0.046650223,0,0,0,0,0,0,0.032513577,-0.054337635,0.032046742,0.026009603,0.026009603,0.029298358,0,0,0,0.018166381,0,0,0,0.008897978,-0.158464435,0,0,0,0,0,-0.003254898,0,-0.069670845,0,0,0,0.009411028,0,0,-0.014092576,0,0,0,-0.02235245,0.029298358,0,0,0.010527552,0.037585358,-0.004785924,0.019378991,0.007444899,-0.010340613,-0.007898183,0,-0.132663815,0,-0.029524069,0,-0.053257641,0.020513783,0,0,-0.048846364,0,0.037585358,0.023108715,0.012226782,-0.003019582,0.026009603,0,0.029298358,0,0,0.022271882,0,0.020513783,0,0,0,0.037585358,0.037585358,0,0.016023371,0.014166438,0,0.020513783,0.014166438,0.018166381,0,0,0.022271882,0,0,0,0,-0.088312909,0.00545577,0,-0.007678815,0,0,0.037585358,0,0.020513783,0.023104466,-0.087562962,-0.008891425,0.033094947,0.025396443,-0.006039164,0.001735226,0.029298358,0,-0.106282636,-0.006259162,0.029298358
4,0.062705974,-0.067009475,0,0,0.004795352,-0.01690413,0.070831645,0,0.03429411,0,-0.059416797,0,0,0,0,-0.016434627,-0.128440262,0,0,-0.215136191,0,0,0,0,0.069831657,0,0,0,0,0,-0.12125188,0.055667198,0,0,0,0,0,0,-0.111153936,0,-0.130652841,0,0,0,0,0,-0.071306829,0,0,0,0,0,0,0,0,0.070831645,0,0,0,-0.071327533,0,0,0.015933987,0,0,0,0,-0.084185713,0,0,0,0.010071003,0,0,-0.030161715,0,0,0,-0.020603548,0,0.022531651,0,0.022531651,0.080442274,-0.006462677,0,0.015933987,0,-0.008452065,0.010071003,-0.387630865,0,0,0,-0.071916506,0.043904739,0.043904739,0,-0.121371483,0.061624451,0.080442274,0,0.02616844,0,0.055667198,0,0.062705974,0,-0.019366415,0.084430799,-0.091913659,0,-0.006966314,0,0,0.080442274,0,0.070831645,0,0.038259327,0,0,0,0,0,0.080442274,0,0,0,0,0,-0.099859083,0,0,0,-0.01460072,0,0,0,0,0,-0.11490815,-0.030161715,0,0,0,0,0.062705974,-0.035077684,0,-0.008452065,0
5,0,0,-0.003537966,0,0,0,0,0,0,0,-0.095655263,0,0.035341179,0,0,0,-0.206776325,0.021064321,0,-0.223824366,-0.035421313,0,0,0.027605091,0,0,0,0.027605091,0.035341179,0.057016029,0,0,0,-0.066689355,-0.020074121,0,0,0.043753033,-0.034613079,0.057016029,0,0,0,0,0,0,-0.057398529,0,0,0.044809387,0,0.035341179,0.064097035,0,0.049604685,0.057016029,0.057016029,-0.01266536,0,-0.057415195,0,0,0.029781245,0.063100104,-0.021304271,0,0,-0.085510419,0.044809387,0,0,0,0.001886133,0,0,0,0.064752117,0,0,0,0,0.015398448,0.02874628,0,-0.005202141,0.021064321,0,-0.017814825,0,0,-0.402339633,0,-0.090092745,0,-0.091752352,0.070682359,0,0.063100104,-0.066689355,0,0,0,0.021064321,-0.010404282,0,0,0,0,0,0,-0.162485052,0,-0.005607544,0,0,0,0,0.057016029,0.027605091,0,0.035341179,0.056014444,0.015398448,0,0,0,0.024208797,0,0,0,0,-0.050715209,0,0,-0.013229076,0,0,0,0,0,0,-0.11671629,-0.024278713,0,0,-0.008245198,0.001886133,0,-0.017814825,-0.038508567,0,0
6,0,-0.051188882,0,0,0.002311218,0,0.034138762,0.004622436,0,0,-0.085911426,0,0,0,0,-0.011604063,-0.148705143,0.012612415,-0.015166953,-0.134016467,0,0,0,0.033057497,0,0.026829946,0.012455103,0,0,0.034138762,-0.022607611,0.026829946,0.034138762,-0.039930737,0,0,0.030222428,0,-0.048121572,0,-0.073081307,0,0,0.022974338,0,0,-0.050347897,0.016528749,0,0,0.030222428,0,0.016528749,0.037781646,0,0,0.034138762,0,0,-0.068755531,0.038770801,0,0.007679711,0,-0.025512174,-0.002118383,0,-0.076799977,0.026829946,0.037781646,0.030222428,0,0.002622237,0,-0.018343722,0.010859591,0,0,-0.019860604,0,0,0,0,0,-0.00311482,0,0.007679711,-0.021333512,-0.004073646,0.004853926,-0.258871069,0,-0.038430257,0.026829946,-0.138646531,0,0,0.023837565,-0.070727067,0.029701166,0,0,0,-0.00311482,0,0,0,0.042524458,-0.005889124,0,-0.097289106,0.021160788,-0.002118383,0,0,0,0,0,0.016528749,0,0.021160788,0,0.009219933,0,0.034138762,0,0,0.030222428,-0.020231499,0.017482947,0.002311218,-0.07849523,0.00710155,0,-0.011604063,-0.002118383,0.030222428,0,0.030222428,0.054699844,0,-0.069884727,-0.02574867,0,0,-0.00311482,0.002622237,0,-0.010666756,0,-0.004073646,0
7,0.051340145,-0.054863611,-0.003598589,0.051340145,0,0,0,0.003926166,0,0,-0.097294301,0,0,0,0,-0.008489635,-0.132696771,0,0,-0.279177643,-0.083655011,-0.014252592,0,0,0.039027501,0.091154377,0,0,0.07189349,0,0,0,0.091916714,-0.085594539,0,0.035946745,0,0.056156199,-0.055800458,0,0,0.036624351,0.008245574,0,0.051340145,0,0,0,0,0,0,0.035946745,0,0,0,0,0,-0.047670468,0.009560264,-0.150959213,0,0,0,0,0,0,0,-0.068926553,0,0,0.051340145,0,0,0,-0.024694725,0.029238843,0,0,-0.026736785,0.051340145,0,0,0,0,-0.005291279,0,0.013045857,0,0,0,-0.409233662,0,0,0,-0.152205728,0,0,0,-0.085594539,0,0,0,0.021425255,0,0,0,0,0,-0.020008218,0,0,0,0,0,0,0,0,0.05799299,0,0,0,0,0.015662298,0.050454654,0,0,0.024623611,0,0,0,0.007852332,-0.081759033,0,0,-0.013455754,-0.007197178,0,0,0.051340145,0,0,-0.118716206,-0.031161274,0,0,-0.008386479,0,0,-0.018120079,0,0,0
8,0,-0.080056355,0,0,0.012007464,0,0.053390985,0.003614607,0.040971243,0.037280528,-0.04478678,0,0,0,0.0055532,-0.007815945,-0.15789815,0,0,-0.243245794,-0.066338497,0,0.060635218,0,0,0.066505714,0,0,0,0,0,0,0,-0.039401114,-0.011860105,0,0,0.025849976,-0.032412401,0.053390985,0,0.024021219,0,0,0,0.05245308,-0.067823896,0.040971243,0.066505714,0,0.074914954,0.033094209,0.051699952,0.059088238,0.029307223,0,0,-0.011860105,0,0,0,0,0,0,-0.019949758,0,0,-0.112397675,0,0,0,0,0.001766214,0.053390985,-0.033306302,0.026918609,0.060635218,0,0,0,0,0.022854247,0.016983752,0,-0.004871392,0,0,-0.016682169,0,0.012031848,-0.350940371,0,-0.047630206,0,-0.108417448,0,0,0,-0.039401114,0.029307223,0.060635218,0,0,-0.004871392,0.041960434,0,0,0,0,0,-0.054904717,0,-0.009300836,0.053390985,0,0,0,0,0,0,0,0,0,0,0.084622709,0,0.022669617,0,0,0,0,-0.150542171,0.0055532,0.084622709,0,-0.00525102,0.047266074,0,0,0.033094209,0,-0.109295541,-0.022735088,0,0,-0.007720974,0.002799383,0,0,-0.036060216,-0.006370939,0
9,0,-0.150330055,0,0,0,0,0,0,0,0,-0.17838952,0.069813545,0,0,0,-0.008999041,-0.111469622,0,0,-0.373421071,-0.038190063,0,0,0,0,0,0,0.029762876,0,0,-0.140829726,0,0,-0.090730486,0,0,0,0,0,0,-0.151748607,0.01382865,0,0.026101107,0,0,-0.061885154,0,0,0,0,0,0,0,0,0,0,0,0,-0.061903122,0,0,0,0,0,-0.011443547,0,-0.046097222,0,0,0.054420718,0.008740335,0.004067131,0,-0.026176488,0,0,0.038103665,0,0.054420718,0,0,0,0,-0.005608773,0.022710839,0.021917892,0,-0.011626184,0,-0.297935349,0.061472755,-0.034600168,0.048311966,-0.062414275,0,0.038103665,0,-0.071902209,0,0,0.042923665,0,0,0,0,0.054420718,0,0,0,0,0,-0.008857031,0,0.042923665,0,0,0,0.029762876,0,0,0.038103665,0,0,0,0.069813545,0,0.054420718,0,0,0,-0.202337913,0,0,0,0,0,0,0,0,0.016602087,-0.099725491,-0.026176488,0,0,-0.008889694,0,0,-0.019207342,0,-0.007335305,0
10,0,-0.069321909,-0.007206715,0.064869899,0,0,0,0.007862737,0,0,-0.12293443,0,0,0.064869899,0,0,-0.167666571,0,0,-0.369664721,-0.14430398,-0.028542957,0,0.035477568,0.062225425,0,0,0.035477568,0.04541985,0,0,0,0,-0.10815141,-0.037794707,0,0.064869899,0,0,0,0,0,0,0,0,0,-0.046542149,0,0,0,0,0,0,0.102330652,0.063751052,0.073275979,0.073275979,0,0,-0.147577959,0.083218261,0,0,0,0,0,0,-0.182534066,0,0,0,0,0,0,0,0.023309197,0,0,-0.04949087,0,0.023309197,0,0.023309197,0,-0.006685698,0,0,-0.059183475,0,0,-0.126503826,0.073275979,-0.041243656,0,0,0,0,0,-0.085707965,0,0,0,0,-0.017282279,0,0,0,0,0,0,0,0,0,0.073275979,0,0,0,0,0,0,0.04541985,0,0,0.080444871,0,0,0,0,0,0,0.004960835,0,0,0,-0.010726923,0,0.064869899,0,0,0,0,-0.174146563,0,0,0,-0.013371397,0.002424025,0,-0.022895294,0,-0.013858497,0
11,0,-0.055557496,0,0.032801702,0,-0.004421303,0.037052267,0,0,0.051743868,-0.093243367,0,0,0.032801702,0,0,-0.127171823,0,0,-0.089184611,-0.036483918,-0.01821223,0.042079618,0,0,0,0,0,0,0.037052267,-0.024537013,0,0,0,-0.019111032,0.022966714,0.051989467,0.017939362,-0.044987105,0,-0.103295955,0.019353551,0.012232323,0,0.051989467,0.022966714,-0.054644739,0.017939362,0,0,0.032801702,0.03640138,0,0.025871934,0,0,0,-0.008230673,0,-0.074623335,0,0,0.016670242,0,-0.021943378,0,0,0,0,0,0.032801702,0,0.001942716,0.058726453,0,0.011786381,0.042079618,0,-0.017082383,0,0,0.028092611,0,0,-0.003380648,0.013688797,0.008335121,-0.023154178,-0.004421303,0.014789637,-0.319835613,0,-0.020855006,0,-0.059625911,0,0.022966714,0.051743868,-0.054687156,0,0,0,0,0,0,0,0,0.029119695,-0.014841113,0,-0.024040169,0.022966714,-0.002299172,0,0.025871934,0,0.042079618,0,0,0,0.03640138,0,0.033241836,0,0,0,0,0,-0.069605582,0.01569398,0.005824474,0,0.006108142,0,0,-0.003644102,0.032801702,0.042079618,0,0,0,-0.135957732,0,0.037052267,0.017939362,0,0,0,-0.023154178,0,-0.0070076,0
12,0,-0.15234134,0,0,0,-0.015227668,0,0,0.038982627,0,-0.107048303,0,0,0.071278816,0,0,-0.258601518,0.029746055,0,-0.366822776,0,0,0,0,0.034186539,0,0,0,0.049907172,0,-0.053319466,0,0,-0.178254584,0,0.079100996,0,0,0,0,0,0,0,0,0.071278816,0.049907172,-0.118744214,0,0,0.063277734,0,0.049907172,0,0,0,0,0,0,0.008374411,-0.162158142,0,0,0.0181124,0,-0.060169803,0,0,0,0,0,0,0.011447859,0,0.080515388,0,0,0.091439933,0,0,0,0,0,0.025612064,0,-0.007346222,0.029746055,0,0,0,0,0,0.12761387,0,0,-0.081748565,0.049907172,0.079100996,0,-0.19738297,0,0.091439933,0,0.047146383,0,0,0,0,0,-0.041668038,0.054184382,0,0,0,0,0,0,0,0,0,0,0.049907172,0,0,0.070049432,0,0,0,0.071278816,-0.047715468,0,0,-0.113511309,0,0.080515388,0,0,0,0,0.071278816,0,0,-0.164821323,0,0.080515388,0,0,0,0,-0.050314536,0,-0.009607589,0.071278816
13,0.048080943,-0.05138073,-0.009461183,0,0,0,0,0.005827785,0,0,-0.045558907,0.061680572,0,0.048080943,0,-0.007950692,-0.144276305,0,-0.019121896,-0.231550038,-0.07834438,-0.026695602,0,0.041677589,0,0,0.009907428,0,0,0.054311448,-0.057005569,0.042683834,0,-0.080160782,-0.012064573,0,0,0,-0.085229296,0,0,0,0,0,0.048080943,0,-0.080098605,0,0,0.067652276,0,0,0,0,0,0,0.086081609,0,0.005648937,-0.05469168,0,0,0,0.037923246,-0.020293693,-0.005341548,0,-0.094565391,0,0.037923246,0.048080943,0,0.001796664,0,-0.029183078,0.017276552,0,0,-0.015798144,0,0,0,0.027382687,0,-0.004955375,0.020065125,0.012217673,-0.033939541,0,0,-0.324368123,0,-0.048451353,0,-0.11028657,0,0,0,-0.063525917,0,0,0,0.020065125,-0.00991075,0.042683834,0,0.048080943,0,0,0.023060442,0,0,-0.006740283,0.054311448,0.037923246,0,0,0.054311448,0,0.014668016,0,0,0,0,0.054311448,0,0.036549936,0,0,0,0.008537551,-0.076568763,0.011297875,0,0,0,0,0,0,0,0.014668016,-0.088107908,0,0,0,-0.00991075,0.003593328,0,-0.016969771,0,-0.016752558,0.048080943
14,0,-0.106838415,0,0.068244926,0,0,0,0,0.023548432,0.033961268,-0.040799204,0,0.030147677,0.043057754,0.01420177,-0.014240109,-0.166934422,0.01796885,-0.032412432,-0.207359175,-0.030216035,0,0,0,0.020651235,0,0,0.023548432,0.030147677,0,-0.051049992,0,0,-0.071786097,-0.021608288,0,0.043057754,0.023548432,-0.046798512,0.077088354,0,0,0,0.032731433,0.043057754,0.047782938,-0.048963627,0.023548432,0,0,0,0.030147677,0,0,0.026697864,0.077088354,0,0,0,-0.048977844,0,0,0.010941249,0.033961268,0,0,0,-0.036472191,0,0.053827337,0,0.006915366,0.003735889,0,-0.020710877,0.015471609,0,0,-0.014147655,0,0.039993529,0.020819427,0.015471609,0,-0.004437669,0,0,0,0,0.006915366,-0.356688341,0.048637336,-0.043389466,0,-0.078269043,0,0,0.033961268,-0.035893049,0,0,0.033961268,0.01796885,0,0,0,0,0.0605844,0,0,0,0,-0.003018051,0.077088354,0,0.055236582,0,0,0.060871814,0,0.047782938,0.030147677,0,0,0.048637336,0,0,0,0,0,0,-0.086524885,0.005058773,0,-0.014240109,-0.006036101,0.043057754,0,0,0,0,-0.078902959,-0.020710877,0,0.023548432,0,0.002550141,0,-0.024086481,-0.032849607,-0.005803705,0
15,0,0,0,0,0,0,0.064162061,0,0.03106494,0.044801486,-0.085305927,0,0,0,0,0,-0.232692376,0.037570571,0,0,0,0,0,0,0,0,0,0.03106494,0.039770622,0,-0.042489851,0,0,0,0,0.063034944,0,0,0,0,0,0,0.021182269,0.063256233,0,0,-0.064592501,0,0.050425515,0,0,0.039770622,0,0,0.035219651,0,0.064162061,-0.028505515,0,-0.064611256,0,0,0.03351384,0.044801486,-0.023974415,0,0,-0.076258695,0.050425515,0,0,0,0,0,-0.027321655,0,0.072867743,0.079541243,-0.029580941,0,0,0.017328394,0.020410047,0.072867743,-0.005854145,0,0.028867251,-0.020047623,0,0,-0.421738941,0,0,0,-0.151261473,0,0,0,-0.075047782,0,0,0,0.023704391,0,0,0,0.056801512,0,0,0,-0.065981172,0.039770622,0,0.064162061,0.071008676,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148555885,0.02340873,0.004343816,0,0.010577248,0.064162061,-0.00939273,0,0,0,0,0,0.017328394,-0.104088275,-0.044559701,0,0,0,0.00336413,0,-0.031774731,0,-0.00765621,0.056801512
16,0.06626129,-0.070808792,0,0,0,0,0,0.00506724,0,0,-0.125571245,0,0,0,0.007784911,0,-0.198830005,0,-0.049879276,-0.113667013,0,0,0,0.036238525,0,0,0,0,0,0,0,0.13658377,0,-0.087546311,-0.03325285,0.046394059,0,0,-0.072017917,0,0,0,0,0.031780048,0,0,-0.047540429,0,0,0,0,0.046394059,0,0,0,0,0,-0.016626425,0,0,0,0,0.016837415,0,0,0,0,-0.088958891,0,0,0.06626129,0.010642011,0.003924395,0,-0.03187183,0,0,0.046394059,-0.021771732,0,0.037736619,0.032038877,0,0,-0.0068291,0,0,-0.037066525,0,0.024709984,-0.478160463,0,-0.084256579,0,0,0,0,0,-0.110471145,0,0,0.082834528,0,0,0,0,0.06626129,0,0,0,0,0.046394059,-0.004644458,0,0,0.085003206,0,0,0,0.032038877,0,0,0,0,0,0,0,0,-0.11466024,0,0,0,0,0,-0.010957004,0,0.06626129,0.085003206,0,0.046394059,0.032038877,-0.121423235,-0.046691387,0,0.036238525,-0.0068291,0,0.06626129,-0.023386374,0,-0.014155747,0.06626129
17,0,-0.070515292,0,0,0.008230056,0,0,0.006367641,0,0,-0.062525378,0.053408753,0.029150063,0.041632934,0,-0.006884446,-0.151045436,0,-0.010446625,-0.28567456,0,0,0.053408753,0,0,0.036959617,0,0,0,0.047027883,-0.103455256,0,0,-0.034705315,0,0,0.041632934,0,-0.066289915,0,-0.05318776,0,0.01728443,0,0.041632934,0,-0.029870344,0,0,0,0.041632934,0,0,0,0.025814408,0,0,-0.034702938,0.007752643,0,0.053408753,0,0,0.065674918,-0.060789683,-0.005836361,0,0,0.036959617,0,0,0.01728443,0.002465755,0,0,0.023710467,0,0,-0.021681489,0,0,0.020130493,0,0,-0.004290823,0,0,0,-0.013029859,0.013373061,-0.291059699,0,-0.026469818,0,-0.047748164,0,0,0,-0.055006623,0,0,0.032837459,0.017374244,-0.006800793,0,0,0,0,-0.012858116,0,0,0,0,0,0,0,0.053408753,0,0.022769193,0.012700927,0,0,0,0,0,0.053408753,0.019967867,0.065986639,-0.044172779,0,0,-0.11743404,0.004891373,0.047027883,-0.010911588,0,0.041632934,0,0.041632934,0,0,-0.135131706,-0.012634706,0,0,0,0,0,-0.023289438,0,0,0
