,name,correct_category,overview
0,abstract factory,2,"Provide an interface for creating families of related or dependent objects without specifying their concrete classes. Consider a user interface toolkit that supports multiple look-and-feel standards. Different look-and-feels define different appearances and behaviors for user interface â€œwidgetsâ€ like scroll bars, windows, and buttons. To be portable across look-and-feel standards, an application should not hard-code its widgets for a particular look and feel. Instantiating look-and-feel-specific classes of widgets throughout the application makes it hard to change the look and feel later.

We can solve this problem by defining an abstract WidgetFactory class that declares an interface for creating each basic kind of widget. Thereâ€™s also an abstract class for each kind of widget, and concrete subclasses implement widgets for specific look-and-feel standards. WidgetFactoryâ€™s interface has an operation that returns a new widget object for each abstract widget class. Clients call these operations to obtain widget instances, but clients arenâ€™t aware of the concrete classes theyâ€™re using. Thus clients stay independent of the prevailing look and feel. independent of how its products are created, composed, and represented. configured with one of multiple families of products. 

used to create families of objects, where the objects of a family are designed to work together. In the abstract factory pattern you provide an interface to create families of related or dependent objects, but you do not specify the concrete classes of the objects to create. From the client point of view, it means that a client can create a family of related objects without knowing about the object definitions and their concrete class names. abstract how the objects are created. Both design patterns help in creating client code that is loosely-coupled with object creation code.

Abstract Factory is a creational design pattern that lets you produce families of related objects without specifying their concrete classes.
Imagine that youâ€™re creating a furniture shop simulatorYou need a way to create individual furniture objects so that they match other objects of the same family. Also, you donâ€™t want to change existing code when adding new products or families of products to the program. 
Provide a level of indirection that abstracts the creation of families of related or dependent objects without directly specifying their concrete classes. The ""factory"" object has the responsibility for providing creation services for the entire platform family. Clients never create platform objects directly, they ask the factory to do that for them.
This mechanism makes exchanging product families easy because the specific class of the factory object appears only once in the application - where it is instantiated. The application can wholesale replace the entire family of products simply by instantiating a different concrete instance of the abstract factory."
1,builder,2,"The Builder pattern captures all these relationships. Each converter class is called a builder in the pattern, and the reader is called the director. creating a complex object should be independent of the parts that make up the object and how they're assembled. construction process must allow different representations for the object that's constructed.

Builder is a creational design pattern that lets you construct complex objects step by step. The pattern allows you to produce different types and representations of an object using the same construction code. Imagine a complex object that requires laborious, step-by-step initialization of many fields and nested objects. Separate the construction of a complex object from its representation so that the same construction process can create different representations.Parse a complex representation, create one of several targets.

The builder creates part of the complex object each time it is called and maintains all intermediate state. When the product is finished, the client retrieves the result. Separate the construction of a complex object from its representation so that the same construction process can create different representations

Separate the construction of a complex object from its representation so that the same construction process can create different representations.
Parse a complex representation, create one of several targets.

An application needs to create the elements of a complex aggregate. The specification for the aggregate exists on secondary storage and one of many representations needs to be built in primary storage.

Builder is a creational design pattern that lets you construct complex objects step by step. The pattern allows you to produce different types and representations of an object using the same construction code.

Imagine a complex object that requires laborious, step-by-step initialization of many fields and nested objects. Such initialization code is usually buried inside a monstrous constructor with lots of parameters. Or even worse: scattered all over the client code.

Lots of subclasses create another problem
You might make the program too complex by creating a subclass for every possible configuration of an object.
For example, let’s think about how to create a House object. To build a simple house, you need to construct four walls and a floor, install a door, fit a pair of windows, and build a roof. But what if you want a bigger, brighter house, with a backyard and other goodies (like a heating system, plumbing, and electrical wiring)?

The simplest solution is to extend the base House class and create a set of subclasses to cover all combinations of the parameters. But eventually you’ll end up with a considerable number of subclasses. Any new parameter, such as the porch style, will require growing this hierarchy even more.

There’s another approach that doesn’t involve breeding subclasses. You can create a giant constructor right in the base House class with all possible parameters that control the house object. While this approach indeed eliminates the need for subclasses, it creates another problem.

The telescoping constructor
The constructor with lots of parameters has its downside: not all the parameters are needed at all times.
In most cases most of the parameters will be unused, making the constructor calls pretty ugly. For instance, only a fraction of houses have swimming pools, so the parameters related to swimming pools will be useless nine times out of ten."
2,factory method,2,"Define an interface for creating an object, but let subclasses decide which class to instantiate. Factory Method lets a class defer instantiation to subclasses. Frameworks use abstract classes to define and maintain relationships between objects. A framework is often responsible for creating these objects as well. present multiple documents to the user. Two key abstractions in this framework are the classes Application and Document. Both classes are abstract, and clients have to subclass them to realize their application-specific implementations. It encapsulates the knowledge of which Document subclass to create and moves this knowledge out of the framework. class canâ€™t anticipate the class of objects it must create. subclasses to specify the objects it creates. classes delegate responsibility to one of several helper subclasses, and you want to localize the knowledge of which helper subclass is the delegate. Factory Method is a creational design pattern that provides an interface for creating objects in a superclass, but allows subclasses to alter the type of objects that will be created.

A superclass specifies all standard and generic behavior and then delegates the creation details to subclasses that are supplied by the client. makes a design more customizable.
standard way to create objects; but it isn't necessary if: the class that's instantiated never changes, or instantiation takes place in an operation that subclasses can easily override it can return the same instance multiple times, or can return a subclass rather than an object of that exact type.
Some Factory Method advocates recommend that as a matter of language design (or failing that, as a matter of style) absolutely all constructors should be private or protected. It's no one else's business whether a class manufactures a new object or recycles an old one."
3,prototype,2,"Specify the kinds of objects to create using a prototypical instance, and create new objects by copying this prototype. reduce the number of classes even further. We have separate classes  This can reduce the number of classes in the system dramatically. instantiate are specified at run-time, by dynamic loading
when instances of a class can have one of only a few different combinations of state. It may be more convenient to install a corresponding number and clone them rather than instantiating the class manually, each time with the appropriate state.

lets you copy existing objects without making your code dependent on their classes.
prototype is also concerned with object creation, but with a difference. you do not create a new object for each client requesting the object. Instead, you start by creating a single object, make copies of it for each client requesting the object. In Java, this is achieved through object cloning, a way to make a copy of an object with the same state as the original object.  create copies if we can create new objects through constructor calls,  move into enterprise application development where application performance is critical, you will encounter situations where construction of an object involves time consuming operations, such as network communication, database reads, and disk I/O. If a large number of such objects needs to be created, you can avoid repeating those steps for each object by initially and then making copies of it.

Declare an abstract base class that specifies a pure virtual ""clone"" method, and, maintains a dictionary of all ""cloneable"" concrete derived classes. Any class that needs a ""polymorphic constructor"" capability: derives itself from the abstract base class, The client then, instead of writing code that invokes the ""new"" operator on a hard-wired class name, calls a ""clone"" operation on the abstract base class, supplying a string or enumerated data type that designates the particular concrete derived class desired.

"
4,singleton,2,"Ensure a class only has one instance, and provide a global point of access to it.

 Itâ€™s important for some classes to have exactly one instance.
How do we ensure that a class has only one instance and that the instance is easily accessible? A global variable makes an object accessible, but it doesnâ€™t keep you from instantiating multiple objects.

responsible for keeping track of its sole instance. The class can ensure that no other instance can be created (by intercepting requests to create new objects), and it can provide a way to access the instance. exactly one instance of a class, and it must be accessible to clients from a well-known access point. sole instance should be extensible by subclassing, and clients should be able to use an extended instance without modifying their code.

 lets you ensure that a class has only one instance, while providing a global access point to this instance. created an object, but after a while decided to create a new one. Instead of receiving a fresh object, youâ€™ll get the one you already created.
Provide a global access point to that instance
Just like a global variable, the Singleton pattern lets you access some object from anywhere in the program
every class should have responsibility over a single part of the functionality provided by the software, and that responsibility should be entirely encapsulated by the classâ€. Singletons can also make testing more difficult. Some consider it to be a non-desirable coding practice since they introduce a global state to the program.
These are very valid arguments. However, are useful in situations like the ones weâ€™ve discussed in the previous paragraphs, when one class needs to manage resources for other classes and when having more instances than one would truly be a design flaw. With prudent, moderate usage and implementations which can be optimized for thread-safety, serialization or faster performance, the singleton pattern can improve the overall readability and elegance of your code.

Make the class of the single instance object responsible for creation, initialization, access, and enforcement. Declare the instance as a private static data member. Provide a public static member function that encapsulates all initialization code, and provides access to the instance.

The client calls the accessor function (using the class name and scope resolution operator) whenever a reference to the single instance is required.

    Ownership of the single instance cannot be reasonably assigned
    Lazy initialization is desirable
    Global access is not otherwise provided for

If ownership of the single instance, when and how initialization occurs, and global access are not issues, Singleton is not sufficiently interesting.

The Singleton pattern can be extended to support access to an application-specific number of instances."
5,adapter,1,"Convert the interface of a class into another interface clients expect. Adapter lets classes work together that couldn't otherwise because of incompatible interfaces. Sometimes a toolkit class that's designed for reuse isn't reusable only because its interface doesn't match the domain-specific interface an application requires.

existing class create a reusable class that cooperates with unrelated or unforeseen classes, that is, that don't necessarily have compatible interfaces. you need to use several existing subclasses, but it's impractical to adapt their interface by subclassing every one. An object adapter can adapt the interface of its parent class.
 Wrap an existing class with a new interface.Impedance match an old component to a new system

Adapter provides a different interface to its subject. Proxy provides the same interface. is meant to change the interface of an existing object. a different interface to its subject. Proxy provides the same interface

Adapter is a structural design pattern that allows objects with incompatible interfaces to collaborate.

Imagine that you’re creating a stock market monitoring app. The app downloads the stock data from multiple sources in XML format and then displays nice-looking charts and diagrams for the user.

At some point, you decide to improve the app by integrating a smart 3rd-party analytics library. But there’s a catch: the analytics library only works with data in JSON format.

The structure of the app before integration with the analytics library
You can’t use the analytics library “as is” because it expects the data in a format that’s incompatible with your app.
You could change the library to work with XML. However, this might break some existing code that relies on the library. And worse, you might not have access to the library’s source code in the first place, making this approach impossible.

Convert the interface of a class into another interface clients expect. Adapter lets classes work together that couldn't otherwise because of incompatible interfaces.
Wrap an existing class with a new interface.
Impedance match an old component to a new system

An ""off the shelf"" component offers compelling functionality that you would like to reuse, but its ""view of the world"" is not compatible with the philosophy and architecture of the system currently being developed."
6,bridge,1,"Decouple an abstraction from its implementation so that the two can vary independently. When an abstraction can have one of several possible implementations, the usual way to accommodate them is to use inheritance. An abstract class defines the interface to the abstraction, and concrete subclasses implement it in different ways. But this approach isnâ€™t always flexible enough. Inheritance binds an implementation to the abstraction permanently, which makes it difficult to modify, extend, and reuse abstractions and implementations independently. Using inheritance, we could define an abstract class and subclasses that implement the interface for the different platforms. But this approach has two drawbacks Whenever a client creates a, it instantiates a concrete class that has a specific implementation. For example, creating an object binds the abstraction to the implementation, which makes the client code dependent on the implementation. This, in turn, makes it harder to port the client code to other platforms.
Clients should be able to create a without committing to a concrete implementation. Only the implementation should depend on the platform on which the application runs. Therefore client code should instantiate without mentioning specific platforms. The Bridge pattern addresses these problems by putting the abstraction and its implementation in separate class hierarchies. There is one class hierarchy for interfaces and a separate hierarchy for platform-specific implementations, with as its root. The subclass, for example, provides an implementation split a large class or a set of closely related classes into two separate Beyond encapsulation, to insulation

The interface object is the ""handle"" known and used by the client; while the implementation object, or ""body"", is safely encapsulated to ensure that it may continue to evolve, or be entirely replaced (or shared at run-time.
    you want run-time binding of the implementation,
    you have a proliferation of classes resulting from a coupled interface and numerous implementations,
    you want to share an implementation among multiple objects,
    you need to map orthogonal class hierarchies.
his is a design mechanism that encapsulates an implementation class inside of an interface class. The former is the body, and the latter is the handle. The handle is viewed by the user as the actual class, but the work is done in the body. platform-oriented interface that is minimal, necessary, and sufficient flexible and less fragile to changes.

Bridge is a structural design pattern that lets you split a large class or a set of closely related classes into two separate hierarchies—abstraction and implementation—which can be developed independently of each other.

Abstraction? Implementation? Sound scary? Stay calm and let’s consider a simple example.

Say you have a geometric Shape class with a pair of subclasses: Circle and Square. You want to extend this class hierarchy to incorporate colors, so you plan to create Red and Blue shape subclasses. However, since you already have two subclasses, you’ll need to create four class combinations such as BlueCircle and RedSquare.

Bridge pattern problem
Number of class combinations grows in geometric progression.
Adding new shape types and colors to the hierarchy will grow it exponentially. For example, to add a triangle shape you’d need to introduce two subclasses, one for each color. And after that, adding a new color would require creating three subclasses, one for each shape type. The further we go, the worse it becomes.

Decouple an abstraction from its implementation so that the two can vary independently.
Publish interface in an inheritance hierarchy, and bury implementation in its own inheritance hierarchy.
Beyond encapsulation, to insulation

""Hardening of the software arteries"" has occurred by using subclassing of an abstract base class to provide alternative implementations. This locks in compile-time binding between interface and implementation. The abstraction and implementation cannot be independently extended or composed.

Consider the domain of ""thread scheduling"".

Bridge scheme

There are two types of thread schedulers, and two types of operating systems or ""platforms"". Given this approach to specialization, we have to define a class for each permutation of these two dimensions. If we add a new platform (say ... Java's Virtual Machine), what would our hierarchy look like?

Bridge scheme

What if we had three kinds of thread schedulers, and four kinds of platforms? What if we had five kinds of thread schedulers, and ten kinds of platforms? The number of classes we would have to define is the product of the number of scheduling schemes and the number of platforms.

The Bridge design pattern proposes refactoring this exponentially explosive inheritance hierarchy into two orthogonal hierarchies – one for platform-independent abstractions, and the other for platform-dependent implementations.

Bridge scheme"
7,composite,1,"Compose objects into tree structures to represent part-whole hierarchies. Composite lets clients treat individual objects and compositions of objects uniformly. applications like and let users build complex out of simple components. The user can group components to form larger components, which in turn can be grouped to form still larger components. A simple implementation could define classes for primitives such as and plus other classes that act as containers for these primitives.  describes how to use recursive composition so that clients donâ€™t have to make this distinction. abstract class that represents both primitives and their containers. this class is. declares operations like that are specific to objects. It also declares operations that all composite objects share, such as operations for accessing and managing its children. The subclasses (see preceding class diagram) define primitive objects. These classes implement. Since primitive have no child, none of these subclasses implements child-related operations.
aggregate of objects. Picture implements to call on its children, and it implements child-related operations accordingly. Because the interface conforms to the interface, Picture objects can compose other recursively. represent part-whole hierarchies of objects. Clients will treat all objects in the composite structure uniformly.

lets you compose objects into tree structures and then work with these structures as if they were individual objects.when the core model of your app can be represented as a tree. system that uses these classes An might comprise various, packaged in, which are packaged in bigger and so on. The whole structure looks like an upside down tree.
hierarchical trees of objects at some point or other. Hierarchical tree structures can come in different flavors, and one can be a tree of components (think as objects) that can be either leaf or node. A leaf is an object that doesnâ€™t have children, while a node does. A node can have one or more leaves or other nodes. This is called recursive composition and can be best illustrated through a file system directory structure. provide clients a uniform way to access and manipulate objects of the tree. Clients should remain unaware whether any operation is being done on a leaf or a node, and this is where the composite design pattern comes in. As an example, composite design pattern can ensure that the process to add or delete a directory (node) and a file (leaf) remains the same for a user. create hierarchical object trees in a uniform manner without going through complexities, such as object casting, type evaluations, and conditional checks to see if one object is independent or contains other objects. A part-whole hierarchy is composed of smaller individual objects called Parts and larger objects called Wholes that are aggregation of Parts. What the pattern says is- for part-whole hierarchies, create tree structures to represent relationships between the Parts and Wholes.
â€œComposite lets clients treat individual objects and compositions of objects uniformlyâ€: This means that a client should be able to apply the same operations over both aggregation of objects (Wholes) and individual objects (Parts).

Composite is a structural design pattern that lets you compose objects into tree structures and then work with these structures as if they were individual objects.

Using the Composite pattern makes sense only when the core model of your app can be represented as a tree.

For example, imagine that you have two types of objects: Products and Boxes. A Box can contain several Products as well as a number of smaller Boxes. These little Boxes can also hold some Products or even smaller Boxes, and so on.

Say you decide to create an ordering system that uses these classes. Orders could contain simple products without any wrapping, as well as boxes stuffed with products...and other boxes. How would you determine the total price of such an order?

Structure of a complex order
An order might comprise various products, packaged in boxes, which are packaged in bigger boxes and so on. The whole structure looks like an upside down tree.
You could try the direct approach: unwrap all the boxes, go over all the products and then calculate the total. That would be doable in the real world; but in a program, it’s not as simple as running a loop. You have to know the classes of Products and Boxes you’re going through, the nesting level of the boxes and other nasty details beforehand. All of this makes the direct approach either too awkward or even impossible.

Compose objects into tree structures to represent whole-part hierarchies. Composite lets clients treat individual objects and compositions of objects uniformly.
Recursive composition
""Directories contain entries, each of which could be a directory.""
1-to-many ""has a"" up the ""is a"" hierarchy

Application needs to manipulate a hierarchical collection of ""primitive"" and ""composite"" objects. Processing of a primitive object is handled one way, and processing of a composite object is handled differently. Having to query the ""type"" of each object before attempting to process it is not desirable."
8,decorator,1,"Attach additional responsibilities to an object dynamically. Decorators provide a flexible alternative to subclassing for extending functionality. Sometimes we want to add responsibilities to individual objects, not to an entire class. A, for example, should let you add properties like or behaviors like to any component. One way to add responsibilities is with inheritance. Inheriting a from another class puts a every subclass instance. This is inflexible, however, because the choice of is made statically. A client canâ€™t control how and when to decorate the component with a. A more flexible approach is to enclose the component in another conforms to the interface of the component it decorates so that its presence is transparent to the componentâ€™s clients. The forwards requests to the component and may perform additional actions before or after forwarding. Transparency lets you nest recursively, thereby allowing an unlimited number of added responsibilities.

For example, suppose we have a objec. has no by default, because we might not always need them. When we do, we can use a to add them. Suppose we also want to add a around the. We can use a to add this as well. We simply compose the with the to produce the desired result. Component is the abstract class for objects. It defines their and event handling interface subclasses are free to add operations for specific functionality.  operation lets other objects the interface if they know there happens to be a Decorator object in the interface. The important aspect of this pattern is that it lets decorators appear anywhere a Component can. add responsibilities to individual objects dynamically and transparently, that is, without affecting other objects. responsibilities that can be withdrawn. when extension by subclassing is impractical. Sometimes a large number of independent extensions are possible and would produce an explosion of subclasses to support every combination. Or a class definition may be hidden or otherwise unavailable for subclassing. new behaviors to objects by placing these objects inside special wrapper objects that contain the behaviors.
Imagine that youâ€™re working on a which lets other programs.

Client-specified embellishment of a core object by recursively wrapping it.
Wrapping a gift, putting it in a box, and wrapping the box. You want to add behavior or state to individual objects at run-time. Inheritance is not feasible because it is static and applies to an entire class. The solution to this class of problems involves encapsulating the original object inside an abstract wrapper interface. Both the decorator objects and the core object inherit from this abstract interface. The interface uses recursive composition to allow an unlimited number of decorator ""layers"" to be added to each core object.

Note that this pattern allows responsibilities to be added to an object, not methods to an object's interface. The interface presented to the client must remain constant as successive layers are specified.

Also note that the core object's identity has now been ""hidden"" inside of a decorator object. Trying to access the core object directly is now a problem.Ensure the context is: a single core (or non-optional) component, several optional embellishments or wrappers, and an interface that is common to all.
Create a ""Lowest Common Denominator"" interface that makes all classes interchangeable. transaction, cache synchronization, and security-related tasks to cleaner and more maintainable code.

Decorator is a structural design pattern that lets you attach new behaviors to objects by placing these objects inside special wrapper objects that contain the behaviors.

Imagine that you’re working on a notification library which lets other programs notify their users about important events.

The initial version of the library was based on the Notifier class that had only a few fields, a constructor and a single send method. The method could accept a message argument from a client and send the message to a list of emails that were passed to the notifier via its constructor. A third-party app which acted as a client was supposed to create and configure the notifier object once, and then use it each time something important happened.

Structure of the library before applying the Decorator pattern
A program could use the notifier class to send notifications about important events to a predefined set of emails.
At some point, you realize that users of the library expect more than just email notifications. Many of them would like to receive an SMS about critical issues. Others would like to be notified on Facebook and, of course, the corporate users would love to get Slack notifications.

Structure of the library after implementing other notification types
Each notification type is implemented as a notifier’s subclass.
How hard can that be? You extended the Notifier class and put the additional notification methods into new subclasses. Now the client was supposed to instantiate the desired notification class and use it for all further notifications.

But then someone reasonably asked you, “Why can’t you use several notification types at once? If your house is on fire, you’d probably want to be informed through every channel.”

You tried to address that problem by creating special subclasses which combined several notification methods within one class. However, it quickly became apparent that this approach would bloat the code immensely, not only the library code but the client code as well.

Structure of the library after creating class combinations
Combinatorial explosion of subclasses.
You have to find some other way to structure notifications classes so that their number won’t accidentally break some Guinness record.

Attach additional responsibilities to an object dynamically. Decorators provide a flexible alternative to subclassing for extending functionality.
Client-specified embellishment of a core object by recursively wrapping it.
Wrapping a gift, putting it in a box, and wrapping the box.

You want to add behavior or state to individual objects at run-time. Inheritance is not feasible because it is static and applies to an entire class."
9,facade,1,"Provide a unified interface to a set of interfaces in a subsystem. Facade defines a higher-level interface that makes the subsystem easier to use. Structuring a system into subsystems helps reduce complexity. A common design goal is to minimize the communication and dependencies between subsystems. One way to achieve this goal is to introduce a facade object that provides a single, simplified interface to the more general facilities of a subsystem. Consider for example a that gives applications access to its subsystem. This subsystem contains classes that implement the. Some specialized applications might need to access these classes directly. But most clients of a generally donâ€™t care about details like; they merely want to. For them, the powerful but low-level interfaces in the subsystem only complicate their task. To provide a higher-level interface that can shield clients from these classes, the subsystem also includes a class. This class defines a unified interface to the subsystem's functionality. The class acts as a facade: It offers clients a single, simple interface to the subsystem simple interface to a complex subsystem. Subsystems often get more complex as they evolve. simple default view of the subsystem that is good enough for most clients. Only clients needing more customizability will need to look beyond the facade.

decouple the subsystem from clients and other subsystems, thereby promoting subsystem independence and portability. layer subsystems. Use a facade to define an entry point to each subsystem level. If subsystems are dependent, then you can simplify the dependencies between them by making them communicate with each other solely through their facades. only access point for the subsystem, it will limit the features and flexibility that ""power users"" may need.
Identify a simpler, unified interface for the subsystem or component.
Design a 'wrapper' class that encapsulates the subsystem.
The facade/wrapper captures the complexity and collaborations of the component, and delegates to the appropriate methods. simplified interface to a single class with a very complex interface

Facade is a structural design pattern that provides a simplified interface to a library, a framework, or any other complex set of classes.

Imagine that you must make your code work with a broad set of objects that belong to a sophisticated library or framework. Ordinarily, you’d need to initialize all of those objects, keep track of dependencies, execute methods in the correct order, and so on.

As a result, the business logic of your classes would become tightly coupled to the implementation details of 3rd-party classes, making it hard to comprehend and maintain.

Provide a unified interface to a set of interfaces in a subsystem. Facade defines a higher-level interface that makes the subsystem easier to use.
Wrap a complicated subsystem with a simpler interface.

A segment of the client community needs a simplified interface to the overall functionality of a complex subsystem."
